customerId,gender,Senior_Citizen,Partner,Dependents,Tenure,Tenure_Group,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,High_Charge_Flag,Total_Charges,Churn,Risk_Score,Risk_Level,,Churn_Flag
0774-IFUVM,Male,0,Yes,Yes,11,New,Loyal,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.15,High,723.35,No,6,High Risk,Average Monthly Charge,0
1373-ORVIZ,Female,0,Yes,Yes,11,New,Loyal,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.35,High,740.80,Yes,6,High Risk,64.76,1
2967-MXRAV,Male,0,Yes,Yes,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.80,Normal,18.80,No,1,Low Risk,,0
8992-CEUEN,Female,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.85,Normal,18.85,No,3,Medium Risk,,0
9318-NKNFC,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.85,Normal,18.85,Yes,3,Medium Risk,,1
9975-SKRNR,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.90,Normal,18.90,No,3,Medium Risk,,0
1423-BMPBQ,Female,0,Yes,Yes,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.00,Normal,19.00,No,3,Medium Risk,,0
1015-OWJKI,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.05,Normal,19.05,No,3,Medium Risk,,0
6569-KTMDU,Female,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.10,Normal,19.10,No,3,Medium Risk,,0
6121-VZNQB,Female,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.10,Normal,19.10,Yes,3,Medium Risk,,1
